[2026-04-30 22:22:07] [DEBUG   ] [physics.materials] Utilisation du user_mapping: {'Fuel': 'Fuel_Uranium', 'Moderator': 'Water_Moderator', 'Reflector': 'Graphite_Moderator', 'ControlRods': 'Boral_ControlRod'}
[2026-04-30 22:22:07] [DEBUG   ] [physics.materials] Propriétés des matériaux appliquées avec succès sur tout le maillage.
[2026-04-30 22:22:07] [DEBUG   ] [core.assembly] Début de l'assemblage (Masse/Réaction) pour 1491583 éléments...
[2026-04-30 22:22:08] [DEBUG   ] [core.assembly] Assemblage terminé. Matrice creuse construite: taille (745875, 745875) avec 5220789 éléments non-nuls.
[2026-04-30 22:22:21] [DEBUG   ] [core.time_integration] Progression de l'intégration : Étape 20/100
[2026-04-30 22:22:21] [INFO    ] [core.time_integration] Mouvement significatif des barres détecté (pos=0.2927). Re-calcul de la physique et factorisation LU...
[2026-04-30 22:22:21] [DEBUG   ] [physics.materials] Calcul des propriétés matériaux. rod_insertion=0.2926834156080037
[2026-04-30 22:22:21] [DEBUG   ] [physics.materials] Utilisation du user_mapping: {'Fuel': 'Fuel_Uranium', 'Moderator': 'Water_Moderator', 'Reflector': 'Graphite_Moderator', 'ControlRods': 'Boral_ControlRod'}
[2026-04-30 22:22:21] [DEBUG   ] [physics.materials] Propriétés des matériaux appliquées avec succès sur tout le maillage.
[2026-04-30 22:22:21] [DEBUG   ] [core.assembly] Début de l'assemblage (Masse/Réaction) pour 1491583 éléments...
[2026-04-30 22:22:22] [DEBUG   ] [core.assembly] Assemblage terminé. Matrice creuse construite: taille (745875, 745875) avec 5220789 éléments non-nuls.
[2026-04-30 22:22:34] [INFO    ] [core.time_integration] Mouvement significatif des barres détecté (pos=0.3054). Re-calcul de la physique et factorisation LU...
[2026-04-30 22:22:34] [DEBUG   ] [physics.materials] Calcul des propriétés matériaux. rod_insertion=0.30544372417288634
[2026-04-30 22:22:34] [DEBUG   ] [physics.materials] Utilisation du user_mapping: {'Fuel': 'Fuel_Uranium', 'Moderator': 'Water_Moderator', 'Reflector': 'Graphite_Moderator', 'ControlRods': 'Boral_ControlRod'}
[2026-04-30 22:22:34] [DEBUG   ] [physics.materials] Propriétés des matériaux appliquées avec succès sur tout le maillage.
[2026-04-30 22:22:34] [DEBUG   ] [core.assembly] Début de l'assemblage (Masse/Réaction) pour 1491583 éléments...
[2026-04-30 22:22:35] [DEBUG   ] [core.assembly] Assemblage terminé. Matrice creuse construite: taille (745875, 745875) avec 5220789 éléments non-nuls.
[2026-04-30 22:22:48] [INFO    ] [core.time_integration] Mouvement significatif des barres détecté (pos=0.3180). Re-calcul de la physique et factorisation LU...
[2026-04-30 22:22:48] [DEBUG   ] [physics.materials] Calcul des propriétés matériaux. rod_insertion=0.31795561808732153
[2026-04-30 22:22:48] [DEBUG   ] [physics.materials] Utilisation du user_mapping: {'Fuel': 'Fuel_Uranium', 'Moderator': 'Water_Moderator', 'Reflector': 'Graphite_Moderator', 'ControlRods': 'Boral_ControlRod'}
[2026-04-30 22:22:48] [DEBUG   ] [physics.materials] Propriétés des matériaux appliquées avec succès sur tout le maillage.
[2026-04-30 22:22:48] [DEBUG   ] [core.assembly] Début de l'assemblage (Masse/Réaction) pour 1491583 éléments...
[2026-04-30 22:22:49] [DEBUG   ] [core.assembly] Assemblage terminé. Matrice creuse construite: taille (745875, 745875) avec 5220789 éléments non-nuls.
[2026-04-30 22:23:01] [INFO    ] [core.time_integration] Mouvement significatif des barres détecté (pos=0.3302). Re-calcul de la physique et factorisation LU...
[2026-04-30 22:23:01] [DEBUG   ] [physics.materials] Calcul des propriétés matériaux. rod_insertion=0.330184059002429
[2026-04-30 22:23:01] [DEBUG   ] [physics.materials] Utilisation du user_mapping: {'Fuel': 'Fuel_Uranium', 'Moderator': 'Water_Moderator', 'Reflector': 'Graphite_Moderator', 'ControlRods': 'Boral_ControlRod'}
[2026-04-30 22:23:01] [DEBUG   ] [physics.materials] Propriétés des matériaux appliquées avec succès sur tout le maillage.
[2026-04-30 22:23:01] [DEBUG   ] [core.assembly] Début de l'assemblage (Masse/Réaction) pour 1491583 éléments...
[2026-04-30 22:23:02] [DEBUG   ] [core.assembly] Assemblage terminé. Matrice creuse construite: taille (745875, 745875) avec 5220789 éléments non-nuls.
[2026-04-30 22:23:14] [INFO    ] [core.time_integration] Mouvement significatif des barres détecté (pos=0.3421). Re-calcul de la physique et factorisation LU...
[2026-04-30 22:23:14] [DEBUG   ] [physics.materials] Calcul des propriétés matériaux. rod_insertion=0.34209424108494646
[2026-04-30 22:23:14] [DEBUG   ] [physics.materials] Utilisation du user_mapping: {'Fuel': 'Fuel_Uranium', 'Moderator': 'Water_Moderator', 'Reflector': 'Graphite_Moderator', 'ControlRods': 'Boral_ControlRod'}
[2026-04-30 22:23:15] [DEBUG   ] [physics.materials] Propriétés des matériaux appliquées avec succès sur tout le maillage.
[2026-04-30 22:23:15] [DEBUG   ] [core.assembly] Début de l'assemblage (Masse/Réaction) pour 1491583 éléments...
[2026-04-30 22:23:15] [DEBUG   ] [core.assembly] Assemblage terminé. Matrice creuse construite: taille (745875, 745875) avec 5220789 éléments non-nuls.
[2026-04-30 22:23:27] [INFO    ] [core.time_integration] Mouvement significatif des barres détecté (pos=0.3537). Re-calcul de la physique et factorisation LU...
[2026-04-30 22:23:27] [DEBUG   ] [physics.materials] Calcul des propriétés matériaux. rod_insertion=0.353651626719304
[2026-04-30 22:23:27] [DEBUG   ] [physics.materials] Utilisation du user_mapping: {'Fuel': 'Fuel_Uranium', 'Moderator': 'Water_Moderator', 'Reflector': 'Graphite_Moderator', 'ControlRods': 'Boral_ControlRod'}
[2026-04-30 22:23:27] [DEBUG   ] [physics.materials] Propriétés des matériaux appliquées avec succès sur tout le maillage.
[2026-04-30 22:23:27] [DEBUG   ] [core.assembly] Début de l'assemblage (Masse/Réaction) pour 1491583 éléments...
[2026-04-30 22:23:28] [DEBUG   ] [core.assembly] Assemblage terminé. Matrice creuse construite: taille (745875, 745875) avec 5220789 éléments non-nuls.
